met_names,R2,slope_Lnpval,ciL_slope_Lnpval,ciU_slope_Lnpval,intercept_Lnpval,ciL_intercept_Lnpval,ciU_intercept_Lnpval,pv-b,pvalb_beta,pvMaxSize,pvMaxSize_corrected
M60,0.461740615590819,-0.10702568584924987,-0.18844492458671042,-0.025606447111789346,-0.9727477922523362,-1.0063589189229563,-0.9391366655817162,0.007534669357037184,0.9997900339291201,0.26033972461727317,0.6706352662895824
M61,0.8846673695752489,-0.29831794678447165,-0.37421199640724545,-0.22242389716169786,-0.9080342253345787,-0.9393644680999624,-0.8767039825691949,2.6413480585828426e-06,0.9906331308226591,0.24969886782245318,0.6706352662895824
M62,0.9780097491628171,-0.43354865386766017,-0.47935478301515544,-0.3877425247201649,-1.0029932085127162,-1.021902690263482,-0.9840837267619506,6.38615274747795e-10,3.35060699820345e-05,0.22364993304796713,0.6706352662895824
M63,0.0192845763789401,-0.014648421138193757,-0.08825209968001074,0.05895525740362323,-0.9374251880098494,-0.9678099300100762,-0.9070404460096226,0.33344421730308327,0.9999918184446833,0.2956558655300222,0.6706352662895824
M64,0.9968440385388435,0.7210350168564846,0.6924491842846587,0.7496208494283105,-1.0128544801472852,-1.0246551559390955,-1.0010538043554749,0.9999999999999614,0.9999704372661524,0.7954123335100394,0.9087902947583163
M65,0.9986975452663773,-2.1912416908676056,-2.2469983651852625,-2.1354850165499486,-0.8596093818483279,-0.8826266032358455,-0.8365921604608103,4.614446353938956e-16,7.019880179634701e-09,0.04947127438219116,0.42050583224862487
M66,0.9552809211776715,0.6005994770907481,0.50903899438915,0.6921599597923462,-1.03347980270763,-1.0712773924398293,-0.9956822129754306,0.9999999775721015,0.9997406934503293,0.9232956724590584,0.951274329200242
M67,0.9937608605052303,0.6441628365344486,0.6081995543293998,0.6801261187394975,-1.05393090008359,-1.0687771016991916,-1.0390846984679882,0.9999999999988336,0.9999901912889555,0.6354480170230591,0.8152917954258116
M68,0.9838895743188812,0.533383317179186,0.48529251647778066,0.5814741178805913,-1.0020003893851626,-1.021853019047773,-0.982147759722552,0.999999999865556,0.9998712531815469,0.5846139723591963,0.7943868407202881
M69,0.9991066327849394,-4.70178310839013,-4.800846667512574,-4.602719549267685,-0.9500443012596438,-0.9909392775052887,-0.9091493250139989,7.004584270323684e-17,1.517699418757907e-07,0.004081837887135923,0.0693912440813107
M70,0.9862851486857561,0.6091789363882351,0.5585636807321269,0.6597941920443432,-1.0273139591589628,-1.0482087230465125,-1.0064191952714132,0.9999999999399487,0.9998470673292971,0.6581193033143024,0.8287428263957882
M71,0.8968037358344563,0.24856962328396004,0.18915770308832133,0.3079815434795987,-0.9602954247300883,-0.9848215884035104,-0.9357692610566662,0.9999984935413891,0.9999826025923599,0.41929168210935697,0.7201452164053405
M72,0.9995033729612103,-9.312854009362658,-9.459121595692796,-9.16658642303252,-0.9630245655627847,-1.0234060975960262,-0.9026430335295432,3.7180247835547614e-18,6.1136651109731226e-06,4.57217808996773e-05,0.006218162202356112
M73,0.993639275134784,-1.6579597134750332,-1.7514260360025689,-1.5644933909474976,-0.9007802077418227,-0.9393645577630744,-0.862195857720571,1.2845702084629496e-12,0.00012584506582556115,0.07529901506780125,0.5717443452619808
M74,0.954670503062948,0.5665640176371307,0.47957690046947,0.6535511348047914,-1.0532140613660634,-1.08912369475458,-1.017304427977547,0.9999999759926735,0.9071781382762427,0.6701918726181229,0.8362027034501349
M75,0.9944383604516819,-1.341571860770335,-1.4122636016408783,-1.2708801198997919,-0.8878013613197606,-0.9169840102097616,-0.8586187124297596,6.562867471275629e-13,0.00020826999706113891,0.09713120288092705,0.6004474359911854
M76,0.43634585249042157,-0.06426426654171802,-0.11572817122743076,-0.012800361856005284,-1.027402140732112,-1.0486472401235947,-1.006157041340629,0.009686479032943313,0.9804690388821731,0.2797326176071662,0.6706352662895824
M77,0.6298741832342757,-0.10834540026043782,-0.16686488790432194,-0.049825912616553704,-0.9301169627921416,-0.9542747164434714,-0.9059592091408118,0.0010298444354922625,0.9706427107253739,0.3028862027936767,0.6719170971476158
M78,0.9591661746392433,0.6249579741385908,0.5341014388631153,0.7158145094140662,-1.0534549453400581,-1.090961934638309,-1.0159479560418072,0.9999999857867159,0.9993420575812487,0.8485380377422922,0.9087902947583163
M80,0.9909029760149826,-1.1135145547029945,-1.1886893498025388,-1.0383397596034503,-0.8702892341434065,-0.9013225574673468,-0.8392559108194663,7.695201408506293e-12,0.051265099410052216,0.12529739034820414,0.6311275958279913
M81,0.9703223832238483,-0.5410810139215374,-0.6077557082066276,-0.4744063196364472,-0.9054287016442905,-0.9329530512954493,-0.8779043519931317,2.868511189081638e-09,0.0002472477197118851,0.22178738077166266,0.6706352662895824
M83,0.002267346214461452,0.02111701487517681,-0.2910039567934134,0.333237986543767,-1.1696832507558272,-1.2985316369356317,-1.0408348645760228,0.5584140444014596,0.0006606034473974417,0.8890029423649017,0.9271230803799774
M84,0.9957942141179098,0.8292188567318456,0.7912480170508749,0.8671896964128163,-1.0613150877663338,-1.0769900402971748,-1.0456401352354927,0.9999999999998378,0.9995594397808347,0.9382251999411706,0.9593881743759338
M85,0.8218748994094975,0.17677644222719302,0.11879001601327116,0.23476286844111488,-0.9651266334491164,-0.9890643310605776,-0.9411889358376553,0.9999760819612332,0.9999978602129586,0.37888270852342687,0.7187351108299909
M86,0.9751557911252491,-0.7634271879586692,-0.8492861151630209,-0.6775682607543174,-0.8714366985399168,-0.9068805975841517,-0.8359927994956818,1.1769050348027676e-09,0.9997585259809497,0.16308374260642847,0.6706352662895824
M87,0.9517902603153776,0.4827511462929059,0.4061981259365388,0.559304166649273,-1.031775314161966,-1.0633775902838696,-1.0001730380400626,0.999999967291808,0.9971538428615615,0.6151660992018562,0.7979344715176548
M88,0.4414329622694777,-0.0934593129236051,-0.16753404809804454,-0.01938457774916566,-0.9435173372279132,-0.9740965387243675,-0.9129381357314589,0.009218145451102463,0.9977884324712872,0.30631514722906017,0.6719170971476158
M89,0.9890348780869035,-5.5407733036254765,-5.951841201320627,-5.129705405930326,-1.1965644051893682,-1.3662596196608383,-1.0268691907178982,1.959438480972269e-11,4.8471891341002435e-06,0.0028605278114782772,0.05557596890872082
M90,0.9313154620866453,-0.3457670940732336,-0.41192884579272043,-0.27960534235374673,-0.9304676309803522,-0.9577802299714141,-0.9031550319892904,1.937230227712715e-07,0.2797256152536559,0.2386582474755119,0.6706352662895824
M91,0.9848338087479949,0.39690459902251984,0.36220014852934473,0.43160904951569495,-1.0385390665536116,-1.0528656028814893,-1.0242125302257339,0.999999999900639,0.9999959992769349,0.4928773143443582,0.7607273343863927
M92,0.28539300643588017,0.0630603976186388,-0.007248602876870888,0.1333693981141485,-0.9656974546676398,-0.9947221023846171,-0.9366728069506625,0.9632096090221784,0.9998937015919552,0.3336651038205499,0.677290359993952
M93,0.9637268841902478,-0.6430267729301671,-0.7309263430400623,-0.5551272028202718,-0.8760215095477365,-0.91230781768657,-0.839735201408903,7.846292387169119e-09,0.9947490814067579,0.1801546413643547,0.6706352662895824
